source_file,seq,direction,hex,cmd,section,checksum_ok
SURROUND_L_VOL_12_TO_10,1,DOWN,AA 25 0E 02 62 63 63 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A6,0x0E,0x02,True
SURROUND_L_VOL_12_TO_10,2,DOWN,AA 25 0E 02 61 63 63 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A7,0x0E,0x02,True
SURROUND_L_VOL_12_TO_10,3,DOWN,AA 25 0E 02 60 63 63 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A8,0x0E,0x02,True
SURROUND_L_VOL_12_TO_10,4,DOWN,AA 25 0E 02 5F 63 63 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A9,0x0E,0x02,True
SURROUND_R_VOL_12_TO_9,1,DOWN,AA 25 0E 02 5F 63 62 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AA,0x0E,0x02,True
SURROUND_R_VOL_12_TO_9,2,DOWN,AA 25 0E 02 5F 63 61 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AB,0x0E,0x02,True
SURROUND_R_VOL_12_TO_9,3,DOWN,AA 25 0E 02 5F 63 60 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AC,0x0E,0x02,True
SURROUND_R_VOL_12_TO_9,4,DOWN,AA 25 0E 02 5F 63 5F 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AD,0x0E,0x02,True
SURROUND_R_VOL_12_TO_9,5,DOWN,AA 25 0E 02 5F 63 5E 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AE,0x0E,0x02,True
SURROUND_R_VOL_12_TO_9,6,DOWN,AA 25 0E 02 5F 63 5D 63 57 32 55 32 50 32 4B 32 1E 64 01 01 03 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AF,0x0E,0x02,True
MAIN_REVERB_LEVEL_90_TO_100,1,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 63 32 5F 32 2F 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9,0x0E,0x00,True
MAIN_REVERB_LEVEL_90_TO_100,2,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 5F 32 2F 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B8,0x0E,0x00,True
MAIN_ECHO_LEVEL_95_TO_100,1,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 61 32 2F 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B6,0x0E,0x00,True
MAIN_ECHO_LEVEL_95_TO_100,2,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2F 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3,0x0E,0x00,True
MAIN_COMP_THRESHOLD_-3db_TO_-5db,1,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2E 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B4,0x0E,0x00,True
MAIN_COMP_THRESHOLD_-3db_TO_-5db,2,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 12 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B5,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,1,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 11 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B6,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,2,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 10 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B7,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,3,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 0F 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B8,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,4,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 0E 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,5,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 0D 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,6,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 0C 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,7,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 0B 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BC,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,8,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 09 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BE,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,9,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 07 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C0,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,10,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 06 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C1,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,11,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 05 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2,0x0E,0x00,True
MAIN_COMP_RATIO_1_18_TO_1_4,12,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 07 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C3,0x0E,0x00,True
MAIN_COMP_ATTACK_7ms_TO_15ms,1,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 08 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2,0x0E,0x00,True
MAIN_COMP_ATTACK_7ms_TO_15ms,2,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 09 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C1,0x0E,0x00,True
MAIN_COMP_ATTACK_7ms_TO_15ms,3,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 0A 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C0,0x0E,0x00,True
MAIN_COMP_ATTACK_7ms_TO_15ms,4,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 0B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF,0x0E,0x00,True
MAIN_COMP_ATTACK_7ms_TO_15ms,5,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 0C 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BE,0x0E,0x00,True
MAIN_COMP_ATTACK_7ms_TO_15ms,6,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 0D 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD,0x0E,0x00,True
MAIN_COMP_ATTACK_7ms_TO_15ms,7,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 0E 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BC,0x0E,0x00,True
MAIN_COMP_ATTACK_7ms_TO_15ms,8,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB,0x0E,0x00,True
MAIN_COMP_RELEASE_0_1s_TO_0_2s,1,DOWN,AA 25 0E 00 61 63 61 63 5A 32 5F 32 64 32 64 32 2D 04 0F 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA,0x0E,0x00,True
